NOMDEP,argile,limon,sable,pf_2_5,pf_3_0,pf_4_2,h2o_utile,h2o_en_mm,matiere_organique,carbone_total,azote_total,c_n,potassium_total,potassium_disponible,phosphore_total,phosphore_assimilable,calcium,magnesium,potassium,sodium,somme_bases,capacite_echange,taux_saturation,ph_eau,ph_kcl,refus,LIM,Shape_Leng,Shape_Area,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,ndvi_mean,Shape_Area_log
BAGASSI,22.14190967741936,33.51143870967742,44.34642580645161,24.18809677419355,12.328251612903223,9.344954838709675,9.404109677419354,2.312742857142857,1.169858064516129,0.6604064516129032,0.6484709677419355,46.124767741935486,1270.340987096774,48.55386451612903,95.5136,2.78363870967742,6.990290322580646,2.272522580645161,0.1480967741935484,0.1228645161290322,9.565225806451611,14.575509677419356,70.35375483870968,6.485464516129032,4.560651612903225,8.802567741935484,1.0,145445.35029,637804845.459,28.614555777777777,1.7514016573166666,47.52561691666667,0.2304134312649177,20.273542911224123
BALAVE,17.859788990825688,36.322449541284406,45.8194495412844,14.839788990825689,10.191697247706422,10.244605504587156,8.288762711864408,0.0274128440366972,1.448467889908257,0.8319174311926606,0.2862018348623853,22.028174311926605,823.2492568807339,61.78938532110092,122.27775229357798,1.5532935779816517,1.9661009174311928,0.7910825688073395,0.1308532110091743,0.1318899082568807,3.0077798165137617,6.72605504587156,61.09642201834863,5.9533027522935775,4.300091743119266,16.700091743119266,1.0,120873.883292,543348627.369,28.05650455555556,1.626465085288889,45.29933577777778,0.2362184358634804,20.11326171307315
BANA,29.800975,32.18405,38.01495,27.453625,16.681125,11.6632,11.153475,2.312742857142857,1.201325,0.6972750000000001,0.0553499999999999,12.548425,2433.66695,90.4276,115.9842,3.291675,11.5322,4.380525,0.28195,0.06255,16.257175,19.166375,83.34175,6.735424999999999,5.010825,13.365375,1.0,50688.2272131,151237039.335,28.21632886111111,1.7973713131666669,47.23615279166667,0.2661743995911297,18.834358967468628
BARANI,17.97440740740741,28.36553703703704,52.42568518518519,14.600925925925926,9.170166666666669,6.029259259259259,0.3884814814814815,1.4202222222222225,0.9989444444444444,0.5788888888888889,0.0432222222222222,13.143314814814817,1119.620074074074,57.48659259259259,81.56222222222222,2.232537037037037,3.8117407407407407,1.5509629629629629,0.1521481481481481,0.0498333333333333,5.564907407407407,7.605666666666667,67.65575925925926,6.044555555555555,4.417166666666667,4.249666666666666,1.0,229554.130911,1922044640.21,29.19150111111111,1.2335364176388888,40.54845452777778,0.211818446539211,21.376655373660785
BOMBOROKUY,18.21836842105263,26.213,57.32305263157895,14.472157894736842,8.84857894736842,5.942,8.288762711864408,2.312742857142857,1.0233684210526317,0.5934736842105263,0.0478421052631578,12.362157894736844,992.2175789473686,52.06021052631579,94.68673684210526,2.706736842105263,3.402,0.9110526315789472,0.1065263157894736,0.0537894736842105,4.473421052631579,5.885526315789474,74.55705263157896,6.492315789473684,4.850315789473685,6.6233157894736845,1.0,90592.2652487,442098406.653,28.46739,1.2677312400666667,42.40697008333333,0.1920463453010432,19.907043057009844
BONDOKUY,17.622647727272724,26.77253977272727,52.76390340909091,21.230835227272728,9.951227272727271,6.8111875,7.493159090909091,0.1380113636363636,0.9752954545454544,0.5659034090909091,0.0467329545454545,12.138590909090908,1164.1952954545454,66.10493181818183,96.13339204545454,2.824840909090909,2.17578409090909,0.9516647727272728,0.1869090909090909,0.0603295454545454,3.3746193181818183,4.934403409090909,63.40253977272727,6.059880681818182,4.413357954545455,13.1021875,1.0,181300.227359,1073462926.9600002,28.30415452777778,1.6478144675833333,48.225463000000005,0.2715085083438718,20.794155640881495
BOROMO,19.756634146341465,24.690795121951226,35.552565853658535,16.676034146341465,10.071741463414634,7.247648780487805,7.134941463414634,0.2369756097560975,1.0413463414634143,0.6047317073170732,0.0451658536585365,10.734848780487804,1454.0261707317072,34.77347804878049,93.70460975609755,3.2759121951219514,4.867643902439025,1.485448780487805,0.1032585365853658,0.0331317073170731,6.489243902439025,7.905526829268293,58.329229268292686,5.037482926829268,3.9114341463414632,0.0016585365853658,1.0,168980.56069099996,961529482.38,28.631635,1.7174284964444444,47.57959030555556,0.1373560560182439,20.684035786464737
BOURASSO,25.347795918367343,37.43231632653061,37.21991836734694,22.78242857142857,15.308326530612243,9.681877551020408,2.671408163265306,2.312742857142857,1.925326530612245,1.1161020408163265,0.0827755102040816,13.201397959183677,1779.3774795918366,64.32772448979593,136.07631632653062,2.412418367346939,5.289408163265306,2.067183673469388,0.1664489795918367,0.0629591836734694,7.585928571428572,10.370030612244898,65.49005102040816,6.086367346938775,4.552918367346939,17.039948979591838,1.0,136950.831031,695786576.557,28.984807916666668,1.5750923442944444,43.75862333333333,0.2620060066716245,20.360553529833503
DEDOUGOU,24.88729411764706,32.84277205882353,42.27024264705882,22.888661764705883,13.91541176470588,9.698257352941177,9.979485294117648,0.1686764705882353,1.1751764705882357,0.6822205882352941,0.0544779411764705,12.345985294117648,1477.2515294117643,72.35240441176471,107.30264705882352,3.2122279411764705,8.243367647058824,2.8574632352941176,0.1479044117647058,0.0513676470588235,11.300286764705884,13.659058823529412,77.72223529411765,6.603735294117647,4.885977941176471,13.80727205882353,1.0,228233.271901,1352559735.53,28.95480275,1.5937178103333334,44.73378811111111,0.2188779175917932,21.02526473519939
DI,30.47920833333333,23.47445833333333,46.04625000000001,21.36958333333333,14.431875,9.433375,4.929833333333334,13.03525,0.9732083333333332,0.5638333333333333,0.045375,12.43325,1682.20825,102.63754166666666,110.09570833333332,3.6730416666666654,9.627833333333331,2.728875,0.261875,0.0779583333333333,12.696666666666667,14.586,79.469625,6.608666666666667,5.071625,0.00375,1.0,85975.0032894,306666452.5,29.30116505555556,1.4086595532222224,41.221079402777775,0.2271394187563981,19.541271244230312
DJIBASSO,15.12058426966292,31.322651685393257,54.3060786516854,13.536595505617978,8.702977528089887,5.668337078651685,0.1730337078651685,0.6175280898876404,1.1826741573033708,0.6856516853932585,0.0536966292134831,13.02614606741573,904.5646741573032,46.60168539325843,112.42624719101124,1.796247191011236,1.8937078651685395,0.6980449438202246,0.0842134831460674,0.0553370786516853,2.731426966292135,4.2136741573033705,62.50126966292135,5.837696629213482,4.2203033707865165,12.127078651685393,1.0,149150.531254,856144323.763,28.38775802777777,1.2688572894,40.740575375,0.0373099042489736,20.567949523589103
DOKUY,19.938924242424243,34.96981818181818,45.09616666666667,15.354303030303033,10.50939393939394,9.700833333333334,8.288762711864408,0.0792272727272727,1.5107575757575755,0.8526515151515152,0.7062272727272727,39.311348484848494,1063.084515151515,65.64268181818181,114.3665909090909,2.3675,2.0014090909090907,0.8263181818181818,0.1313636363636363,0.2479848484848485,11.367409090909092,10.993272727272728,55.6875,5.675409090909091,3.754166666666667,13.283030303030303,1.0,131363.35123,765715704.203,28.71676586111111,1.4681518045277775,44.64151452777778,0.2462405652235316,20.45632151678198
DOUMBALA,16.054133333333333,32.29906666666666,51.64685333333333,15.088413333333332,10.159146666666668,6.219306666666666,0.308,1.0992,1.4176933333333332,0.8218933333333334,0.0657733333333333,12.010106666666667,1019.1900533333334,49.63733333333334,127.31829333333332,2.13884,1.7624000000000002,0.5306933333333334,0.09584,0.0590133333333333,4.2498933333333335,3.98948,59.77662666666667,5.622693333333333,4.15416,14.882586666666668,1.0,110296.218964,481862538.437,28.33190711111111,1.5597975466833334,43.2510985,0.245852919140423,19.993169443451034
DOUROULA,28.66564912280701,32.86987719298246,38.46159649122807,22.889701754385964,14.88617543859649,10.83457894736842,9.167052631578947,1.59740350877193,1.0740701754385966,0.6233684210526317,0.0506315789473684,12.166105263157894,1639.3299649122807,84.4299649122807,109.62849122807016,2.3541052631578947,8.223526315789474,3.162421052631579,0.2188245614035087,0.0563684210526315,11.660982456140353,13.662771929824562,80.99419298245614,6.804228070175439,5.066964912280702,15.03178947368421,1.0,118498.698718,476013192.809,28.94103063888889,1.5668985911111113,44.97315113888889,0.2423182761710074,19.980956129897688
FARA,21.989696428571428,23.90651785714286,36.24664285714285,20.27858928571429,11.791526785714284,8.776473214285714,7.789098214285715,2.312742857142857,1.042625,0.6055357142857144,0.0454464285714285,10.91767857142857,1854.528330357143,37.95711607142857,80.75249107142858,3.015330357142857,9.675366071428572,3.295116071428571,0.1205714285714285,0.0419642857142857,13.13301785714286,15.427544642857145,63.71846428571429,5.308205357142858,4.023303571428571,0.0045535714285714,1.0,144758.15291,727050890.05,28.261717583333333,1.7785827963888887,49.30629354166667,0.0,20.4045070344921
GASSAN,27.306619047619044,27.77455952380953,38.96577380952381,23.81975,15.081511904761904,10.737321428571429,6.556809523809524,4.521654761904762,1.4608214285714287,0.847095238095238,0.0639999999999999,12.13795238095238,1817.6494761904764,77.44403571428572,100.85336904761904,3.042797619047619,11.08804761904762,3.802428571428572,0.2149166666666666,0.0576190476190476,15.163095238095238,18.16988095238096,74.76640476190477,6.159238095238095,4.576809523809524,5.664702380952381,1.0,172469.241912,1029474879.26,29.069611111111115,1.3670413175277778,41.9362385,0.2264399713799721,20.752314684192715
GOMBORO,24.87050793650793,26.31188888888889,44.0557619047619,22.46155555555556,13.887936507936509,9.939349206349206,8.60615873015873,9.370952380952382,1.105,0.6408888888888888,0.050063492063492,11.979825396825396,1642.9255555555555,57.45147619047619,92.1105873015873,3.558888888888889,11.048984126984127,3.802682539682539,0.1745555555555555,0.0576031746031746,15.083936507936508,18.208285714285715,71.40480952380952,5.910587301587301,4.344952380952382,0.6625396825396824,1.0,90774.2937593,482619512.5,28.54349505555556,1.073814211233333,40.17727611111111,0.2242546219410689,19.99473914444469
GOSSINA,28.796229729729728,28.13247297297297,35.4137027027027,24.49418918918919,15.417270270270269,11.423135135135135,8.923310810810811,5.401986486486487,1.1245945945945943,0.6529594594594595,0.0519324324324324,11.522027027027027,1618.0479054054051,59.97990540540541,101.69425675675676,4.387716216216216,11.852,4.089986486486486,0.1767162162162162,0.0507162162162162,16.16937837837838,19.19295945945946,72.67068918918919,6.009567567567567,4.342270270270271,0.0174054054054054,1.0,81541.0511004,415680638.0,28.50369155555556,1.508939448261111,46.196815944444445,0.1991147926329614,19.845427828685512
KASSOUM,30.394467741935483,27.72625806451613,41.87925806451613,25.92154838709677,15.506290322580645,11.442451612903223,9.042774193548388,8.364500000000001,1.2114032258064515,0.7028387096774193,0.0557419354838709,12.655903225806451,1850.5006935483875,75.22275806451613,102.74732258064516,3.6427741935483873,12.624467741935485,4.083451612903225,0.2179032258064516,0.0638064516129032,16.989645161290323,20.01691935483871,80.4381935483871,6.485677419354838,4.763032258064516,0.0064516129032258,1.0,115957.355993,685604893.6,29.204196472222225,1.3670413175277778,42.01305377777778,0.2160539309098614,20.345812064370552
KIEMBARA,26.722485981308413,28.308046728971966,43.100383177570095,24.205271028037384,14.638934579439251,10.703654205607476,8.404803738317758,8.019158878504673,1.2509252336448595,0.7255046728971963,0.0561775700934579,12.484130841121496,1875.845,63.292065420560746,97.56531775700934,3.409289719626168,12.142654205607478,4.094663551401869,0.1859719626168224,0.0653084112149532,16.4886261682243,19.71858878504673,76.13869158878505,6.24611214953271,4.657317757009346,0.7795327102803739,1.0,146058.877917,740178289.0,28.61526661111111,1.073814211233333,40.437284194444445,0.2238803881019188,20.422401647575363
KOMBORI,12.709,29.517692307692307,57.77376923076923,11.534897435897436,6.81725641025641,4.838538461538461,8.288762711864408,2.312742857142857,1.0217179487179489,0.5926410256410256,0.0419230769230769,14.518871794871794,1022.591641025641,48.23730769230769,101.26392307692308,1.9588461538461537,1.8244358974358976,0.8604358974358975,0.0785897435897435,0.0491794871794871,2.813102564102564,4.419641025641026,63.49110256410256,5.780666666666667,4.178410256410256,6.92897435897436,1.0,97191.2832247,224286990.399,28.95996627777778,1.2688572894,40.12974163888889,0.0685424086404459,19.22843700137077
KONA,23.47242276422764,32.951065040650406,43.576699186991874,22.368040650406503,12.44070731707317,8.584886178861789,9.428016260162602,2.312742857142857,0.9800650406504066,0.5691219512195121,0.0466666666666666,12.044357723577235,1617.886943089431,61.03047967479674,88.41556097560975,3.899650406504065,7.75330081300813,2.838634146341464,0.153430894308943,0.0464959349593495,10.791674796747968,12.95269105691057,78.62387804878048,6.601292682926829,4.568730568356374,9.616910569105691,1.0,111244.325063,610920494.809,28.57757,1.7973713131666669,46.92904288888889,0.240831036300084,20.23047738724381
KOUGNY,33.92814893617021,29.638978723404254,36.43289361702128,29.391382978723403,18.24546808510638,13.606638297872342,10.114787234042554,5.769021276595745,1.3188297872340426,0.765872340425532,0.0597872340425531,12.72691489361702,1943.242744680851,65.84274468085106,107.28159574468084,3.48363829787234,15.282702127659576,5.324553191489361,0.2014255319148936,0.057127659574468,20.867936170212765,24.70759574468085,80.70997872340426,6.520510638297872,4.710553191489362,0.4476595744680851,1.0,89249.1539819,333143313.813,28.67134616666667,1.5340599932333332,44.42084083333334,0.2011346552720679,19.624083330173853
KOUKA,18.2751797752809,35.17601123595506,46.54888764044944,15.420617977528089,9.808337078651686,13.038865168539326,4.167887640449439,17.524280898876405,1.146337078651685,0.6647528089887641,0.0514719101123595,12.661921348314609,1316.3369550561797,59.94070786516854,96.69206741573036,2.480033707865169,2.197696629213483,0.8132808988764045,0.1673033707865168,0.0485730337078651,4.745797752808988,4.63461797752809,67.62177528089887,6.1770786516853935,4.593168539325843,10.25132584269663,1.0,142674.619449,786046265.348,28.432190638888887,1.553655052611111,47.73200422222222,0.2462531358455655,20.482526211699287
LANFIERA,20.491136363636365,23.552818181818186,37.77427272727272,18.331000000000003,11.277227272727272,7.799454545454545,4.198909090909091,7.807909090909091,1.1600454545454546,0.6722727272727272,0.053090909090909,10.335636363636365,1428.157772727273,87.92845454545454,101.76804545454546,4.0475,6.438272727272727,2.2486818181818182,0.2123636363636364,0.0562272727272727,8.955545454545456,10.888727272727271,61.546454545454544,5.071863636363637,3.804863636363636,3.3846818181818183,1.0,85494.9521661,282016138.739,28.980540750000003,1.3670413175277778,42.74277097222223,0.2135407849796689,19.457474860381655
LANKOUE,26.38190625,28.989015625,44.629109375,23.654109375,14.101609375,10.307734375,8.133125,10.552625,1.25615625,0.7283125,0.05753125,12.505265625,1972.8480625,67.159578125,100.63446875,3.104,11.440171875,3.800046875,0.19240625,0.07553125,15.508125,18.71921875,77.23392187500001,6.33090625,4.73996875,0.328125,1.0,80028.8197065,292234644.5,28.39880966666667,1.1726459378333334,41.45834108333334,0.2299821528733351,19.493067618014077
MADOUBA,16.787324324324324,33.896567567567566,50.21737837837839,14.77189189189189,9.511783783783784,6.335972972972972,8.288762711864408,2.312742857142857,1.300918918918919,0.7541351351351351,0.0564864864864864,13.910756756756756,1019.5151621621624,51.321,127.74862162162164,1.621027027027027,2.029837837837838,0.8061351351351351,0.0798648648648648,0.0567027027027027,2.972891891891892,4.5785135135135135,63.07489189189189,5.881864864864864,4.250864864864865,13.895378378378378,1.0,49426.6916527,161665219.5,28.35146047222222,1.4568358466222222,42.604613416666666,0.0244264027781486,18.901038214832813
NOUNA,22.31396330275229,35.94325688073395,42.0485871559633,20.86783486238532,13.856018348623854,8.641642201834863,1.3591376146788992,0.1260550458715596,1.9395229357798165,1.1243302752293578,0.0828348623853211,13.21140366972477,1561.131110091743,59.88567889908256,133.49354128440368,2.2419174311926606,4.869651376146789,1.7212568807339448,0.1433394495412844,0.0594678899082568,8.033990825688074,9.33288990825688,65.37708256880734,6.035009174311927,4.498568807339449,16.106036697247706,1.0,196795.210767,1487122632.22,29.000628888888887,1.59984488925,43.18962436111112,0.2570800580248998,21.12010897124587
OUARKOYE,19.1255572519084,30.767236641221373,50.1072748091603,24.21216030534352,12.00732824427481,7.538786259541985,8.684809160305344,0.741679389312977,1.127290076335878,0.654236641221374,0.053267175572519,12.78063358778626,1079.004145038168,67.20014503816795,107.7398320610687,2.8183664122137406,2.858908396946565,1.1901832061068702,0.1463206106870229,0.0530687022900763,4.235381679389313,5.604641221374045,70.57456488549619,6.342106870229008,4.764931297709924,17.007946564885497,1.0,155506.87851,1069418423.26,28.66028219444444,1.5848077880777778,46.91923520833333,0.251902345745411,20.79038080892597
OURI,20.256,36.75408510638298,42.75346808510638,21.38970212765957,12.033382978723406,7.6529716312056735,12.016382978723405,2.312742857142857,1.057049645390071,0.6131418439716312,0.0483333333333333,14.035297872340426,2379.1017446808514,31.32060283687943,94.54740425531917,2.304695035460993,4.2301347517730505,1.4683191489361702,0.1007163120567375,0.0420425531914893,5.841234042553192,7.331900709219858,72.8100780141844,6.615723404255319,4.842659574468086,18.98268085106383,1.0,144831.589168,662398147.238,28.509691972222225,1.7897094160277776,46.33827933333333,0.2567104266512172,20.311377365496995
PA,22.24886075949367,34.70129113924051,43.04978481012658,23.555329113924053,11.814253164556964,9.056759493670889,8.748746835443038,2.312742857142857,1.0452025316455695,0.5478607594936709,2.238506329113924,128.20546835443037,1204.236848101266,46.02251898734177,81.72454430379746,2.139379746835443,5.147189873417722,1.5599240506329113,0.1034810126582278,0.3413291139240506,7.267746835443038,19.656632911392407,59.194658227848095,6.167949367088608,3.787569620253164,9.726708860759492,1.0,122608.95558300002,403127896.96,28.728957277777777,1.7154930544,48.28264883333333,0.0069608275062465,19.814764434226458
POMPOI,23.373245614035085,35.1919649122807,41.434666666666665,24.010894736842108,13.452649122807015,9.585438596491228,10.231350877192982,2.312742857142857,1.2010526315789471,0.6971052631578947,0.0543508771929824,15.37080701754386,1941.0083157894733,38.83754385964912,106.15003508771927,2.30680701754386,7.899771929824562,2.704333333333333,0.1123333333333333,0.0371578947368421,10.75356140350877,13.286964912280702,74.25836842105262,6.566491228070174,4.78680701754386,10.34498245614035,1.0,83729.0726795,228941082.683,28.225617916666668,1.7897094160277776,46.98507869444445,0.2662703924417381,19.248975251923788
POURA,12.693411764705884,16.197911764705882,26.991029411764703,12.096558823529412,7.079352941176471,5.1405,5.498558823529412,2.312742857142857,0.8458823529411765,0.4913823529411765,0.0361176470588235,7.480441176470588,1068.9166764705883,35.21285294117647,89.25967647058825,4.916382352941176,4.729382352941177,1.413735294117647,0.1105882352941176,0.0298529411764705,6.283558823529412,7.402,45.0264705882353,3.533735294117647,2.9545,0.0017647058823529,1.0,53554.8898007,113268113.5,28.378715944444444,1.7785827963888887,49.32931094444445,0.0570220169819693,18.54526826097143
SAFANE,27.920696,35.702568,36.376756,26.913648,16.579644000000002,13.602872,12.75424,2.312742857142857,1.255184,0.728688,0.056588,12.879296,2032.518892,47.118308,107.543624,2.728224,10.878228000000002,3.480348,0.14162,0.049232,14.563996,17.504236000000002,79.104068,6.766856,11.104964,10.942324,1.0,196731.180422,982318726.645,28.4401185,1.7897094160277776,47.02748004166667,0.2440170731324937,20.70542638356058
SAMI,24.16927619047619,37.98414285714286,37.84648571428571,19.65517142857143,13.159571428571429,17.13527619047619,0.8048000000000001,2.312742857142857,1.5881714285714286,0.9204761904761906,0.0687904761904762,12.971809523809524,1166.8965333333333,82.50452380952382,164.6945523809524,2.3849714285714287,1.857295238095238,0.8963333333333334,0.2288,0.0671619047619047,3.0495714285714284,4.808971428571429,62.68123809523809,5.827523809523809,4.289638095238095,12.16124761904762,1.0,138881.922961,642019547.395,27.42183975,1.861872093305556,48.10040725,0.2395378397024416,20.280129310404064
SANABA,23.93374647887324,40.4491338028169,35.61714084507042,20.53099295774648,14.393457746478871,13.580633802816902,0.6601478873239437,2.312742857142857,1.874830985915493,1.086669014084507,0.0831478873239436,12.871112676056338,1218.2217605633805,77.50453521126761,155.27218309859157,1.6370211267605634,2.4676760563380284,1.0405422535211268,0.1743521126760563,0.0691760563380281,3.751549295774648,5.864739436619718,61.32242253521127,5.947633802816902,4.395401408450704,25.691035211267604,1.0,159629.656111,920996850.5,28.81241427777778,1.5826578803888889,44.752336972222224,0.2299605266935869,20.640967175646963
